Make,Label
Buick,7
Acura,1
Audi,4
BMW,5
Cadillac,8
Chevrolet,9
Chrysler,10
Dodge,11
FIAT,12
Ford,14
GMC,16
Honda,20
Genesis,17
Geo,18
Freightliner,15
Fisker,13
Bentley,6
Alfa,2
AM,0
Aston,3
Jeep,25
Kia,26
Land,27
Lexus,28
Lincoln,29
Lotus,30
Maserati,32
Mazda,33
Mercedes-Benz,34
Mercury,35
MINI,31
Mitsubishi,36
Nissan,37
Oldsmobile,38
Plymouth,39
Pontiac,40
Porsche,41
Ram,42
Saab,43
Saturn,44
Scion,45
smart,52
Subaru,46
Suzuki,47
Tesla,48
Toyota,49
Volkswagen,50
Volvo,51
HUMMER,19
Hyundai,21
INFINITI,22
Isuzu,23
Jaguar,24
